Program_Name,Fiscal_year,Activity_Name,Activity_category,Activity_Instance_ID,Activity_Label,Service_site_name,School,Service_Site_Address,Start_date,End_date,Days_of_week,Time,Total_program_days
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3782839,Surf Field Trip (Shah),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-01-23,2020-01-23,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3743769,Surf Field Trip (Shah),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-17,2019-10-17,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3429906,Surf Field Trip (Shah),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-06,2018-09-06,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3474121,Surf Field Trip (Skate Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-18,2018-10-18,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3473499,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-04,2018-10-04,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3454339,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-12-21,2018-12-21,F,9:00 AM-4:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3440566,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-13,2018-09-13,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3474149,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-11-08,2018-11-08,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3528219,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-04,2019-04-04,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3526992,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-07,2019-03-07,Th,11:15 AM-3:30 PM,0
